feature,importance
2026vi0732x.pv_kurt,0.0
2026ti0745.pv_p2p,0.0
2026ti0746.pv_mean,0.0
2026ti0745.pv_min,0.0
2026ti0745.pv_rms,0.0
2026ti0745.pv_skew,0.0
ti0731_mean,0.0
2026vi0732y.pv_rms,0.0
2026vi0732y.pv_max,0.0
2026vi0732y.pv_p2p,0.0
2026vi0734y.pv_kurt,0.0
2026ti0746.pv_std,0.0
2026ti0746.pv_min,0.0
2026ti0746.pv_rms,0.0
2026ti0746.pv_kurt,0.0
2026ti0746.pv_p2p,0.0
2026vi0731y.pv_peak_freq_mag,0.0
2026vi0731y.pv_band_low,0.0
2026vi0731y.pv_band_mid,0.0
2026vi0731y.pv_band_high,0.0
2026vi0732x.pv_spectral_centroid,0.0
2026vi0732x.pv_spectral_entropy,0.0
2026vi0732x.pv_dominant_freq,0.0
2026vi0732x.pv_peak_freq_mag,0.0
ti0731_rise_rate,0.0
ti0731_above_165,0.0
ti0731_above_200,0.0
